Journal,journal
Berichte,reports
versuchen,try
willkommen,welcome
zentral,central
Bilder,images
Präsident,president
Hinweis,notice
Gott,god
original,original
Kopf,head
Radio,radio
bis,until
Zelle,cell
Farbe,color
selbst,self
Rat,council
weg,away
beinhaltet,includes
Spur,track
Diskussion,discussion
Archiv,archive
einmal,once
andere,others
Unterhaltung,entertainment
Vereinbarung,agreement
mindestens,least
Gesellschaft,society
Monate,months
Protokoll,log
Sicherheit,safety
Freunde,friends
sicher,sure
Handel,trade
Ausgabe,edition
Autos,cars
Nachrichten,messages
Marketing,marketing
erzählen,tell
weiter,further
aktualisiert,updated
Verband,association
fähig,able
haben,having
bietet,provides
Spaß,fun
bereits,already
grün,green
Studien,studies
schließen,close
gemeinsam,common
Fahrt,drive
spezifisch,specific
mehrere,several
Gold,gold
leben,living
Sammlung,collection
genannt,called
kurz,short
Künste,arts
viel,lot
fragen,ask
Anzeige,display
begrenzt,limited
angetrieben,powered
Lösungen,solutions
bedeutet,means
Direktor,director
täglich,daily
Strand,beach
Vergangenheit,past
natürlich,natural
ob,whether
fällig,due
Elektronik,electronics
fünf,five
auf,upon
Zeitraum,period
Planung,planning
Datenbank,database
sagt,says
offiziell,official
Wetter,weather
Land,land
Durchschnitt,average
erledigt,done
technisch,technical
Fenster,window
Region,region
Insel,island
Aufzeichnung,record
direkt,direct
Konferenz,conference
Umwelt,environment
Aufzeichnungen,records
Bezirk,district
Kalender,calendar
Kosten,costs
Stil,style
Front,front
journal,Journal
reports,Berichte
try,versuchen
welcome,willkommen
central,zentral
images,Bilder
president,Präsident
notice,Hinweis
god,Gott
original,original
head,Kopf
radio,Radio
until,bis
cell,Zelle
color,Farbe
self,selbst
council,Rat
away,weg
includes,beinhaltet
track,Spur
discussion,Diskussion
archive,Archiv
once,einmal
others,andere
entertainment,Unterhaltung
agreement,Vereinbarung
least,mindestens
society,Gesellschaft
months,Monate
log,Protokoll
safety,Sicherheit
friends,Freunde
sure,sicher
trade,Handel
edition,Ausgabe
cars,Autos
messages,Nachrichten
marketing,Marketing
tell,erzählen
further,weiter
updated,aktualisiert
association,Verband
able,fähig
having,haben
provides,bietet
fun,Spaß
already,bereits
green,grün
studies,Studien
close,schließen
common,gemeinsam
drive,Fahrt
specific,spezifisch
several,mehrere
gold,Gold
living,leben
collection,Sammlung
called,genannt
short,kurz
arts,Künste
lot,viel
ask,fragen
display,Anzeige
limited,begrenzt
powered,angetrieben
solutions,Lösungen
means,bedeutet
director,Direktor
daily,täglich
beach,Strand
past,Vergangenheit
natural,natürlich
whether,ob
due,fällig
electronics,Elektronik
five,fünf
upon,auf
period,Zeitraum
planning,Planung
database,Datenbank
says,sagt
official,offiziell
weather,Wetter
land,Land
average,Durchschnitt
done,erledigt
technical,technisch
window,Fenster
region,Region
island,Insel
record,Aufzeichnung
direct,direkt
conference,Konferenz
environment,Umwelt
records,Aufzeichnungen
district,Bezirk
calendar,Kalender
costs,Kosten
style,Stil
front,Front