ahnung,hunch
Altersheim,retirement home
amazing,erstaunlich
angle,Winkel
annoying,lästig
anstatt,instead of
anstelle,instead
Arche,ark
Archiv,archive
Archivar,archivist
archive,Archiv
archivist,Archivar
ark,Arche
Aufgabe,task
Ausdehnung,expansion
ausgestorben,extinct
ausprobieren,try out
beanspruchen,claim
before,vorher
besorgen,procure
besorgt sein,to be worried
bird's nest,Vogelnest
Blumenvase,flower vase
branch,Zweig
Brillengestell,eyeglass frame
buzz,schwirren
calculator,Taschenrechner
case,Etui
ceiling,Zimmerdecke
claim,beanspruchen
climbing plant,Rankelpflanze
color gradient,Varbverlauf
compressed air bottle,Pressluftflasche
convection,Konvektion
crawl,kriechen
crutch,Krücke
curtain rod,Gardinenstange
cytoplasm,Zytoplasma
deceased,verstorben
deficient,mangelhaft
desire,Lust
disorganized,ungeordnet
dive,Sturzflug
dog poop,Hundehaufen
drawer,Schublade
Eisscholle,ice floe
entflogen,flown away
entgangen,escaped
entlangschwingen,swing along
Entzündung,inflammation
errinern,remember
erstaunlich,amazing
escaped,entgangen
Etui,case
expansion,Ausdehnung
extinct,ausgestorben
eyeglass frame,Brillengestell
Farbton,hue
flower vase,Blumenvase
flown away,entflogen
folgendes,following
following,folgendes
Gardinenstange,curtain rod
Gehstock,walking stick
geschmacklos,tasteless
Gleischirm,paraglider
gleiten,glide
glide,gleiten
Gradient,gradient
gradient,Gradient
grauenhaft,horrific
handle,Henkel
hanging seat,Hängesitz
hearing aid,Hörgerät
Heckruder,stern rudder
Hefter,stapler
Henkel,handle
horrific,grauenhaft
hotel lobby,hotellobby
hotellobby,hotel lobby
hue,Farbton
hunch,ahnung
Hundehaufen,dog poop
Hängesitz,hanging seat
Hörgerät,hearing aid
ice floe,Eisscholle
imagined,vorgestellt
inflammation,Entzündung
instead,anstelle
instead of,anstatt
interrogation,Verhör
Konvektion,convection
kriechen,crawl
Krücke,crutch
Landebahn,runway
launch pad,Startrampe
leave,verlassen
lobby,lobby
lobby,lobby
lobbyist,lobbyist
lobbyist,lobbyist
lower,untere
Lust,desire
lästig,annoying
mangelhaft,deficient
meantime,zwischenzeit
meanwhile,zwischenzeitlich
meteorite impact,Meteoriteneinschlag
Meteoriteneinschlag,meteorite impact
multiply,vervielfältigen
Organellen,organelles
organelles,Organellen
overseas territories,Überseegebiete
paraglider,Gleischirm
pause,pausieren
pausieren,pause
premonition,Vorahnung
Pressluftflasche,compressed air bottle
procure,besorgen
ram,Widder
Rankelpflanze,climbing plant
remember,errinern
retirement home,Altersheim
rise,steigen
Rollkragenpullover,turtleneck sweater
Rollstuhl,wheelchair
runway,Landebahn
scale,Tonleiter
scales,Wage
Scheibenwischer,windshield wiper
Schleifspur,skid mark
Schublade,drawer
schwirren,buzz
security check,Sicherheitskontrolle
sequence,sequenzieren
sequenzieren,sequence
Sicherheitskontrolle,security check
Silben,syllables
skid mark,Schleifspur
Sprenkelanlage,sprinkler system
springboard,Sprungbrett
sprinkler system,Sprenkelanlage
Sprungbrett,springboard
stapler,Hefter
Startrampe,launch pad
steigen,rise
stern rudder,Heckruder
streiken,strike
strike,streiken
stubborn,störrisch
Sturzflug,dive
störrisch,stubborn
Stütze,support
support,Stütze
surveillance,Überwachung
swing along,entlangschwingen
syllables,Silben
Tank,tank
tank,Tank
Taschenrechner,calculator
task,Aufgabe
tasteless,geschmacklos
to be worried,besorgt sein
Tonleiter,scale
try out,ausprobieren
turtleneck sweater,Rollkragenpullover
ungeordnet,disorganized
untere,lower
Varbverlauf,color gradient
Verhör,interrogation
verlassen,leave
verstorben,deceased
vervielfältigen,multiply
Vogelnest,bird's nest
Vorahnung,premonition
vorgestellt,imagined
vorher,before
Wage,scales
walking stick,Gehstock
Walross,walrus
walrus,Walross
wasp,Wespe
Weltformel,world formula
Wespe,wasp
wheelchair,Rollstuhl
Widder,ram
will,Wille
Wille,will
wind turbine,Windrad
Windrad,wind turbine
windshield wiper,Scheibenwischer
Winkel,angle
world formula,Weltformel
Zimmerdecke,ceiling
Zweig,branch
zwischenzeit,meantime
zwischenzeitlich,meanwhile
Zytoplasma,cytoplasm
Überseegebiete,overseas territories
Überwachung,surveillance