schauen,look
links,left
Immobilie,estate
Bedingungen,conditions
auswählen,select
Fenster,windows
Fotos,photos
schwul,gay
Faden,thread
Woche,week
Kategorie,category
Notiz,note
leben,live
groß,large
Galerie,gallery
Tabelle,table
registrieren,register
jedoch,however
Markt,market
Bibliothek,library
wirklich,really
Aktion,action
Start,start
Serie,series
Modell,model
Funktionen,features
Luft,air
Industrie,industry
Plan,plan
menschlich,human
bereitgestellt,provided
ja,yes
erforderlich,required
zweite,second
heiß,hot
Zubehör,accessories
Kosten,cost
Film,movie
Foren,forums
besser,better
sagen,say
Fragen,questions
gehen,going
medizinisch,medical
Test,test
Freund,friend
kommen,come
Server,servers
Studie,study
Anwendung,application
Warenkorb,cart
Personal,staff
Artikel,articles
Rückmeldung,feedback
wieder,again
spielen,play
suchen,looking
Probleme,issues
nie,never
Benutzer,users
vollständig,complete
Straße,street
Thema,topic
Kommentar,comment
finanziell,financial
Dinge,things
arbeiten,working
gegen,against
Standard,standard
Steuer,tax
Person,person
unten,below
mobil,mobile
weniger,less
bekommen,got
Blog,blog
Party,party
Zahlung,payment
Ausrüstung,equipment
Anmeldung,login
Student,student
lassen,let
Programme,programs
Angebote,offers
legal,legal
oben,above
kürzlich,recent
Park,park
Geschäfte,stores
Seite,side
Akt,act
Problem,problem
rot,red
geben,give
Speicher,memory
Leistung,performance
sozial,social
Zitat,quote
Sprache,language
Geschichte,story
look,schauen
left,links
estate,Immobilie
conditions,Bedingungen
select,auswählen
windows,Fenster
photos,Fotos
gay,schwul
thread,Faden
week,Woche
category,Kategorie
note,Notiz
live,leben
large,groß
gallery,Galerie
table,Tabelle
register,registrieren
however,jedoch
market,Markt
library,Bibliothek
really,wirklich
action,Aktion
start,Start
series,Serie
model,Modell
features,Funktionen
air,Luft
industry,Industrie
plan,Plan
human,menschlich
provided,bereitgestellt
yes,ja
required,erforderlich
second,zweite
hot,heiß
accessories,Zubehör
cost,Kosten
movie,Film
forums,Foren
better,besser
say,sagen
questions,Fragen
going,gehen
medical,medizinisch
test,Test
friend,Freund
come,kommen
servers,Server
study,Studie
application,Anwendung
cart,Warenkorb
staff,Personal
articles,Artikel
feedback,Rückmeldung
again,wieder
play,spielen
looking,suchen
issues,Probleme
never,nie
users,Benutzer
complete,vollständig
street,Straße
topic,Thema
comment,Kommentar
financial,finanziell
things,Dinge
working,arbeiten
against,gegen
standard,Standard
tax,Steuer
person,Person
below,unten
mobile,mobil
less,weniger
got,bekommen
blog,Blog
party,Party
payment,Zahlung
equipment,Ausrüstung
login,Anmeldung
student,Student
let,lassen
programs,Programme
offers,Angebote
legal,legal
above,oben
recent,kürzlich
park,Park
stores,Geschäfte
side,Seite
act,Akt
problem,Problem
red,rot
give,geben
memory,Speicher
performance,Leistung
social,sozial
quote,Zitat
language,Sprache
story,Geschichte