complicado,"complicated"
exhaustivo,"exhaustive"
prosperar,"thrive"
ceja,"eyebrow"
funda de almohada,"pillowcase"
cubre cama,"bedspread"
camiseta interior,"undershirt"
comedero,"feeder"
terco,"stubborn"
obstinado,"obstinate"
parpadear,"blink"
titilar,"flicker"
defender,"defend"
abogar por,"advocate for"
ventosa,"suction cup"
protección,"protection"
abogar,"advocate"
asumir,"assume"
amputación,"amputation"
estómago,"stomach"
signo,"sign"
quedarse,"stay"
sobrar,"be left over"
desecho,"waste"
golpe,"blow"
impacto,"impact"
lo esencial,"the essential"
observador,"observer"
rocío,"dew"
banco de pesas,"weight bench"
ingrato,"ungrateful"
indignado,"indignant"
desmesurado,"excessive"
excesivamente,"excessively"
lámpara de sobremesa,"table lamp"
consejo,"advice"
lámpara frontal,"headlamp"
laringe,"larynx"
en relación con,"in relation to"
inconexo,"disjointed"
asentir,"nod"
aislarse,"isolate oneself"
columna de erupción,"eruption column"
sofocante,"stifling"
viciado,"vitiated"
latkes,"latkes"
brumoso,"misty"
neblinoso,"foggy"
cepillo de inodoro,"toilet brush"
obtener,"obtain"
extraer,"extract"
cráter de impacto,"impact crater"
arrojar,"throw"
lanzar,"launch"
dosificar,"dose"
cañón,"canyon"
ingle,"groin"
pus,"pus"
sincrotrón,"synchrotron"
distorsionado,"distorted"
algo,"something"
soportar,"endure"
manejar,"handle"
deslumbrar,"dazzle"
jorobas,"humps"
reverencia,"reverence"
elección,"choice"
balsa,"raft"
mijo,"millet"
perdonar,"forgive"
pedido,"order"
escarabajo estercolero,"dung beetle"
reverencia,"bow"
batidor,"whisk"
acariciar,"caress"
verdaderamente,"truly"
dirigible,"airship"
implantar,"implant"
fuerte,"strong"
tratado,"treaty"
alegre,"cheerful"
linfa,"lymph"
entusiasta,"enthusiastic"
soñador,"dreamer"
desear,"desire"
exigir,"demand"
juzgar,"judge"
desinhibido,"uninhibited"
crisol,"crucible"
indisposición,"indisposition"
bota,"boot"
cierre,"closure"
graduación,"graduation"
plataforma,"platform"
escalera de cuerda,"rope ladder"
surgir,"arise"
aparecer,"appear"
ventaja,"advantage"
compendio,"compendium"
sección,"section"
complicated,"complicado"
exhaustive,"exhaustivo"
thrive,"prosperar"
eyebrow,"ceja"
pillowcase,"funda de almohada"
bedspread,"cubre cama"
undershirt,"camiseta interior"
feeder,"comedero"
stubborn,"terco"
obstinate,"obstinado"
blink,"parpadear"
flicker,"titilar"
defend,"defender"
advocate for,"abogar por"
suction cup,"ventosa"
protection,"protección"
advocate,"abogar"
assume,"asumir"
amputation,"amputación"
stomach,"estómago"
sign,"signo"
stay,"quedarse"
be left over,"sobrar"
waste,"desecho"
blow,"golpe"
impact,"impacto"
the essential,"lo esencial"
observer,"observador"
dew,"rocío"
weight bench,"banco de pesas"
ungrateful,"ingrato"
indignant,"indignado"
excessive,"desmesurado"
excessively,"excesivamente"
table lamp,"lámpara de sobremesa"
advice,"consejo"
headlamp,"lámpara frontal"
larynx,"laringe"
in relation to,"en relación con"
disjointed,"inconexo"
nod,"asentir"
isolate oneself,"aislarse"
eruption column,"columna de erupción"
stifling,"sofocante"
vitiated,"viciado"
latkes,"latkes"
misty,"brumoso"
foggy,"neblinoso"
toilet brush,"cepillo de inodoro"
obtain,"obtener"
extract,"extraer"
impact crater,"cráter de impacto"
throw,"arrojar"
launch,"lanzar"
dose,"dosificar"
canyon,"cañón"
groin,"ingle"
pus,"pus"
synchrotron,"sincrotrón"
distorted,"distorsionado"
something,"algo"
endure,"soportar"
handle,"manejar"
dazzle,"deslumbrar"
humps,"jorobas"
reverence,"reverencia"
choice,"elección"
raft,"balsa"
millet,"mijo"
forgive,"perdonar"
order,"pedido"
dung beetle,"escarabajo estercolero"
bow,"reverencia"
whisk,"batidor"
caress,"acariciar"
truly,"verdaderamente"
airship,"dirigible"
implant,"implantar"
strong,"fuerte"
treaty,"tratado"
cheerful,"alegre"
lymph,"linfa"
enthusiastic,"entusiasta"
dreamer,"soñador"
desire,"desear"
demand,"exigir"
judge,"juzgar"
uninhibited,"desinhibido"
crucible,"crisol"
indisposition,"indisposición"
boot,"bota"
closure,"cierre"
graduation,"graduación"
platform,"plataforma"
rope ladder,"escalera de cuerda"
arise,"surgir"
appear,"aparecer"
advantage,"ventaja"
compendium,"compendio"
section,"sección"